origem,destino,distancia,tempo,carregamento
Graal Itatiaia,Eletroposto Novo Pedágio,92.1833578978177,55.31001473869062,36.87334315912708
Graal Itatiaia,Audi Center Juiz de Fora,141.6841019088514,85.01046114531084,56.67364076354056
Graal Itatiaia,Shooping Nova America,138.1545863593309,82.89275181559853,1184.182168794265
Graal Itatiaia,Maxi Shopping Jundiai,252.41674739568074,151.45004843740844,2163.572120534406
Graal Itatiaia,Posto Moinho I,125.76376471544643,75.45825882926786,150.91651765853572
Graal Itatiaia,Posto Galo Branco Franca - Shell Recharge,365.7026172961128,219.4215703776677,438.8431407553354
Graal Itatiaia,Posto Rabi Ibate,367.095316769407,220.2571900616442,146.8381267077628
Graal Itatiaia,Posto BR - Pau Seco,387.1674923772218,232.30049542633307,154.8669969508887
Graal Itatiaia,Volvo Posto Crossville,162.4676858677169,97.48061152063015,64.98707434708676
Graal Itatiaia,Frango Assado Itu - Tupinambá,299.07066161140534,179.4423969668432,199.38044107427024
Graal Itatiaia,Porsche Service | Body & Paint Stuttgart,256.414264299507,153.8485585797042,43.95673102277263
Graal Itatiaia,Porsche Center São Paulo - Stuttgart,251.6199616642596,150.97197699855576,43.13485057101593
Graal Itatiaia,Volvo EuroVille,286.27338773791377,171.76403264274828,780.745602921583
Graal Itatiaia,Audi Center BH,285.4505862093757,171.2703517256254,778.5015987528427
Graal Itatiaia,Thor Volvo - RP,362.3953211714949,217.43719270289697,724.7906423429898
Graal Itatiaia,Audi Center Ribeirão Preto,364.70019971873455,218.82011983124073,145.88007988749382
Graal Itatiaia,Eurobike Special BYD,363.69367769743775,218.21620661846265,727.3873553948755
Graal Itatiaia,Graal Topazio,362.38737999583424,217.43242799750055,144.95495199833368
Graal Itatiaia,Frango Assado,348.20330225937266,208.92198135562361,139.28132090374905
Graal Itatiaia,Posto Jardim do Trevo,263.9006987963322,158.34041927779933,316.68083855559865
Graal Itatiaia,Posto Fase Quattro,375.638828641962,225.38329718517718,3045.720232232124
Graal Itatiaia,EZVolt Canindé,241.5747390227349,144.9448434136409,241.5747390227349
Graal Itatiaia,Eletroposto EZVolt / 99 - 100% elétrico,238.8925836568738,143.33555019412427,71.66777509706213
Graal Itatiaia,Movida Tatuapé,238.48754886668397,143.09252932001039,286.18505864002077
Graal Itatiaia,Shell Recharge - Frango Assado Jacareí,175.7411707306592,105.44470243839552,70.29646829226368
Graal Itatiaia,Posto Kid Dollar,220.44233470241647,132.26540082144987,1889.5057260207125
Graal Itatiaia,Restaurante Armazém Rota 106,276.1760193575759,165.70561161454555,2367.223023064936
Graal Itatiaia,EDP Cachoeiro de Itapemirim,399.00244332952315,239.40146599771387,1134.6041042545683
Graal Itatiaia,Posto Senna,397.7317661596888,238.63905969581327,3409.1294242259037
Graal Itatiaia,Shell Recharge - Posto Iate Botafogo,149.82057895360347,89.89234737216209,179.78469474432418
Graal Itatiaia,Posto Campeão 28,249.06612092523477,149.43967255514087,249.06612092523477
Graal Itatiaia,Frango Assado Carvalho Pinto,159.4813964717941,95.68883788307647,63.79255858871765
Graal Itatiaia,CPFL,259.9468530450341,155.9681118270205,311.936223654041
Graal Itatiaia,Hub EZVolt,241.9356293618722,145.16137761712332,241.93562936187217
Graal Itatiaia,Ibis Jundiaí Shopping ,253.0113954742521,151.80683728455128,1380.0621571322843
Graal Itatiaia,3333 Avenida Nove de Julho,253.18391330644232,151.9103479838654,690.5015817448427
Graal Itatiaia,Avenida Nove de Julho,253.41853703665518,152.05112222199313,2054.7448948917986
Graal Itatiaia,Riviera Shopping Estacionamento ,209.80739727046154,125.88443836227692,35.96698238922198
Graal Itatiaia,Volvo - Posto 6,310.89553473950144,186.53732084370085,116.58582552731303
Graal Itatiaia,Zletric - Rancho Empyero,294.13243619551054,176.47946171730632,294.13243619551054
Graal Itatiaia,Shell Recharge - Posto Papa,245.81865484458498,147.491192906751,294.982385813502
Graal Itatiaia,Eletroposto Eletroposto Volvo Carga Rápida,167.1439286705884,100.28635720235305,66.85757146823536
Graal Itatiaia,Posto Arco Íris Roseira,91.94339162368746,55.16603497421248,36.77735664947499
Graal Itatiaia,Eletroposto Tupinambá - Shopping Tamboré,260.21147184462404,156.12688310677444,709.6676504853383
Graal Itatiaia,Eletropostos Volvo - Shopping Tamboré,260.2608338598121,156.15650031588726,2230.8071473698183
Graal Itatiaia,EDP | Graal 125 Sul (Plug&GO),293.6554958062305,176.1932974837383,117.46219832249218
Graal Itatiaia,EDP | Graal Trevo (Plug&GO),368.33602720936085,221.0016163256165,147.33441088374434
Graal Itatiaia,Posto San Remo,66.50325256563411,39.90195153938047,181.37250699718396
Graal Itatiaia,Pão de Açúcar Jardim Paulista,247.4017629739158,148.44105778434948,4638.78305576092
Graal Itatiaia,Shopping Cidade São Paulo,246.6671071447563,148.00026428685376,2114.289489812197
Graal Itatiaia,Posto Guararema,188.20247807207448,112.9214868432447,225.8429736864894
Graal Itatiaia,Posto GAP São José dos Campos,153.66995214718716,92.2019712883123,184.4039425766246
Graal Itatiaia,Graal dos 500,71.15705057145462,42.69423034287277,85.38846068574554
Graal Itatiaia,Eletroposto Graal Estrela,21.588851060373372,12.953310636224023,25.906621272448046
Graal Itatiaia,Posto Mamão,67.5074462920239,40.50446777521434,81.00893555042867
Graal Itatiaia,Posto Nacional,67.56481870872942,40.538891225237656,81.07778245047531
Graal Itatiaia,Dimension Office,132.98624935325327,79.79174961195196,2156.533773295999
Graal Itatiaia,Supermercado Zona Sul,130.99292163652143,78.59575298191285,1062.1047700258493
Graal Itatiaia,Shopping Village Mall Barra,135.42486500920992,81.25491900552595,1098.039446020621
Graal Itatiaia,Posto Ipiranga Freeway Barra,136.89161811437717,82.1349708686263,1109.9320387652203
Graal Itatiaia,Bossa Nova Mall,149.6523467159375,89.7914080295625,2426.7948116097973
Graal Itatiaia,Barra Shopping,134.65031635668814,80.79018981401288,1091.7593218109848
Graal Itatiaia,BMW Euroville,142.1533067252394,85.29198403514363,1152.5943788532923
